Starting 304 Sequential Iterations...
Permutation 1/304 (c=0.80, d=0.80, e=0.05)
Permutation 2/304 (c=0.80, d=0.80, e=0.10)
Permutation 3/304 (c=0.80, d=0.80, e=0.15)
Permutation 4/304 (c=0.80, d=0.80, e=0.20)
Permutation 5/304 (c=0.80, d=0.80, e=0.25)
Permutation 6/304 (c=0.80, d=0.80, e=0.30)
Permutation 7/304 (c=0.80, d=0.80, e=0.35)
Permutation 8/304 (c=0.80, d=0.80, e=0.40)
Permutation 9/304 (c=0.80, d=0.80, e=0.45)
Permutation 10/304 (c=0.80, d=0.80, e=0.50)
Permutation 11/304 (c=0.80, d=0.80, e=0.55)
Permutation 12/304 (c=0.80, d=0.80, e=0.60)
Permutation 13/304 (c=0.80, d=0.80, e=0.65)
Permutation 14/304 (c=0.80, d=0.80, e=0.70)
Permutation 15/304 (c=0.80, d=0.80, e=0.75)
Permutation 16/304 (c=0.80, d=0.80, e=0.80)
Permutation 17/304 (c=0.80, d=0.80, e=0.85)
Permutation 18/304 (c=0.80, d=0.80, e=0.90)
Permutation 19/304 (c=0.80, d=0.80, e=0.95)
Permutation 20/304 (c=0.80, d=0.85, e=0.05)
Permutation 21/304 (c=0.80, d=0.85, e=0.10)
Permutation 22/304 (c=0.80, d=0.85, e=0.15)
Permutation 23/304 (c=0.80, d=0.85, e=0.20)
Permutation 24/304 (c=0.80, d=0.85, e=0.25)
Permutation 25/304 (c=0.80, d=0.85, e=0.30)
Permutation 26/304 (c=0.80, d=0.85, e=0.35)
Permutation 27/304 (c=0.80, d=0.85, e=0.40)
Permutation 28/304 (c=0.80, d=0.85, e=0.45)
Permutation 29/304 (c=0.80, d=0.85, e=0.50)
Permutation 30/304 (c=0.80, d=0.85, e=0.55)
Permutation 31/304 (c=0.80, d=0.85, e=0.60)
Permutation 32/304 (c=0.80, d=0.85, e=0.65)
Permutation 33/304 (c=0.80, d=0.85, e=0.70)
Permutation 34/304 (c=0.80, d=0.85, e=0.75)
Permutation 35/304 (c=0.80, d=0.85, e=0.80)
Permutation 36/304 (c=0.80, d=0.85, e=0.85)
Permutation 37/304 (c=0.80, d=0.85, e=0.90)
Permutation 38/304 (c=0.80, d=0.85, e=0.95)
Permutation 39/304 (c=0.80, d=0.90, e=0.05)
Permutation 40/304 (c=0.80, d=0.90, e=0.10)
Permutation 41/304 (c=0.80, d=0.90, e=0.15)
Permutation 42/304 (c=0.80, d=0.90, e=0.20)
Permutation 43/304 (c=0.80, d=0.90, e=0.25)
Permutation 44/304 (c=0.80, d=0.90, e=0.30)
Permutation 45/304 (c=0.80, d=0.90, e=0.35)
Permutation 46/304 (c=0.80, d=0.90, e=0.40)
Permutation 47/304 (c=0.80, d=0.90, e=0.45)
Permutation 48/304 (c=0.80, d=0.90, e=0.50)
Permutation 49/304 (c=0.80, d=0.90, e=0.55)
Permutation 50/304 (c=0.80, d=0.90, e=0.60)
Permutation 51/304 (c=0.80, d=0.90, e=0.65)
Permutation 52/304 (c=0.80, d=0.90, e=0.70)
Permutation 53/304 (c=0.80, d=0.90, e=0.75)
Permutation 54/304 (c=0.80, d=0.90, e=0.80)
Permutation 55/304 (c=0.80, d=0.90, e=0.85)
Permutation 56/304 (c=0.80, d=0.90, e=0.90)
Permutation 57/304 (c=0.80, d=0.90, e=0.95)
Permutation 58/304 (c=0.80, d=0.95, e=0.05)
Permutation 59/304 (c=0.80, d=0.95, e=0.10)
Permutation 60/304 (c=0.80, d=0.95, e=0.15)
Permutation 61/304 (c=0.80, d=0.95, e=0.20)
Permutation 62/304 (c=0.80, d=0.95, e=0.25)
Permutation 63/304 (c=0.80, d=0.95, e=0.30)
Permutation 64/304 (c=0.80, d=0.95, e=0.35)
Permutation 65/304 (c=0.80, d=0.95, e=0.40)
Permutation 66/304 (c=0.80, d=0.95, e=0.45)
Permutation 67/304 (c=0.80, d=0.95, e=0.50)
Permutation 68/304 (c=0.80, d=0.95, e=0.55)
Permutation 69/304 (c=0.80, d=0.95, e=0.60)
Permutation 70/304 (c=0.80, d=0.95, e=0.65)
Permutation 71/304 (c=0.80, d=0.95, e=0.70)
Permutation 72/304 (c=0.80, d=0.95, e=0.75)
Permutation 73/304 (c=0.80, d=0.95, e=0.80)
Permutation 74/304 (c=0.80, d=0.95, e=0.85)
Permutation 75/304 (c=0.80, d=0.95, e=0.90)
Permutation 76/304 (c=0.80, d=0.95, e=0.95)
Permutation 77/304 (c=0.85, d=0.80, e=0.05)
Permutation 78/304 (c=0.85, d=0.80, e=0.10)
Permutation 79/304 (c=0.85, d=0.80, e=0.15)
Permutation 80/304 (c=0.85, d=0.80, e=0.20)
Permutation 81/304 (c=0.85, d=0.80, e=0.25)
Permutation 82/304 (c=0.85, d=0.80, e=0.30)
Permutation 83/304 (c=0.85, d=0.80, e=0.35)
Permutation 84/304 (c=0.85, d=0.80, e=0.40)
Permutation 85/304 (c=0.85, d=0.80, e=0.45)
Permutation 86/304 (c=0.85, d=0.80, e=0.50)
Permutation 87/304 (c=0.85, d=0.80, e=0.55)
Permutation 88/304 (c=0.85, d=0.80, e=0.60)
Permutation 89/304 (c=0.85, d=0.80, e=0.65)
Permutation 90/304 (c=0.85, d=0.80, e=0.70)
Permutation 91/304 (c=0.85, d=0.80, e=0.75)
Permutation 92/304 (c=0.85, d=0.80, e=0.80)
Permutation 93/304 (c=0.85, d=0.80, e=0.85)
Permutation 94/304 (c=0.85, d=0.80, e=0.90)
Permutation 95/304 (c=0.85, d=0.80, e=0.95)
Permutation 96/304 (c=0.85, d=0.85, e=0.05)
Permutation 97/304 (c=0.85, d=0.85, e=0.10)
Permutation 98/304 (c=0.85, d=0.85, e=0.15)
Permutation 99/304 (c=0.85, d=0.85, e=0.20)
Permutation 100/304 (c=0.85, d=0.85, e=0.25)
Permutation 101/304 (c=0.85, d=0.85, e=0.30)
Permutation 102/304 (c=0.85, d=0.85, e=0.35)
Permutation 103/304 (c=0.85, d=0.85, e=0.40)
Permutation 104/304 (c=0.85, d=0.85, e=0.45)
Permutation 105/304 (c=0.85, d=0.85, e=0.50)
Permutation 106/304 (c=0.85, d=0.85, e=0.55)
Permutation 107/304 (c=0.85, d=0.85, e=0.60)
Permutation 108/304 (c=0.85, d=0.85, e=0.65)
Permutation 109/304 (c=0.85, d=0.85, e=0.70)
Permutation 110/304 (c=0.85, d=0.85, e=0.75)
Permutation 111/304 (c=0.85, d=0.85, e=0.80)
Permutation 112/304 (c=0.85, d=0.85, e=0.85)
Permutation 113/304 (c=0.85, d=0.85, e=0.90)
Permutation 114/304 (c=0.85, d=0.85, e=0.95)
Permutation 115/304 (c=0.85, d=0.90, e=0.05)
Permutation 116/304 (c=0.85, d=0.90, e=0.10)
Permutation 117/304 (c=0.85, d=0.90, e=0.15)
Permutation 118/304 (c=0.85, d=0.90, e=0.20)
Permutation 119/304 (c=0.85, d=0.90, e=0.25)
Permutation 120/304 (c=0.85, d=0.90, e=0.30)
Permutation 121/304 (c=0.85, d=0.90, e=0.35)
Permutation 122/304 (c=0.85, d=0.90, e=0.40)
Permutation 123/304 (c=0.85, d=0.90, e=0.45)
Permutation 124/304 (c=0.85, d=0.90, e=0.50)
Permutation 125/304 (c=0.85, d=0.90, e=0.55)
Permutation 126/304 (c=0.85, d=0.90, e=0.60)
Permutation 127/304 (c=0.85, d=0.90, e=0.65)
Permutation 128/304 (c=0.85, d=0.90, e=0.70)
Permutation 129/304 (c=0.85, d=0.90, e=0.75)
Permutation 130/304 (c=0.85, d=0.90, e=0.80)
Permutation 131/304 (c=0.85, d=0.90, e=0.85)
Permutation 132/304 (c=0.85, d=0.90, e=0.90)
Permutation 133/304 (c=0.85, d=0.90, e=0.95)
Permutation 134/304 (c=0.85, d=0.95, e=0.05)
Permutation 135/304 (c=0.85, d=0.95, e=0.10)
Permutation 136/304 (c=0.85, d=0.95, e=0.15)
Permutation 137/304 (c=0.85, d=0.95, e=0.20)
Permutation 138/304 (c=0.85, d=0.95, e=0.25)
Permutation 139/304 (c=0.85, d=0.95, e=0.30)
